src_fm_fc_ms_ff,target
"org . junit . Assert . assertThat ( results , is ( new java . lang . String [ ] [ ] { new java . lang . String [ ] { ""A"" , ""B"" } , new java . lang . String [ ] { ""C"" , ErrorCode . UNDEFINED_NULL_SEQUENCE . name ( ) } } ) )
","<mask> . junit . Assert . assertThat ( results <mask> is ( new java . <mask> . String [ ] [ ] { new java . lang . String [ ] { <mask> , ""B"" <mask> <mask> new java . lang . <mask> <mask> ] <mask> ""C"" , ErrorCode . UNDEFINED_NULL_SEQUENCE . <mask> <mask> ) } } ) )"
"org . junit . Assert . assertThat ( rsSizeOf ( rs ) , org . hamcrest . Matchers . is ( 1 ) )
","org . junit . <mask> . assertThat ( rsSizeOf ( rs ) , org . <mask> . Matchers . <mask> ( 1 ) <mask>"
"org . junit . Assert . assertEquals ( capturedStatus . getValue ( ) , expectedStatus )
",org . junit . Assert . assertEquals ( <mask> . getValue ( ) <mask> <mask> )
"org . junit . Assert . assertFalse ( failed . get ( ) )
",org . junit <mask> Assert . assertFalse ( failed <mask> get ( ) )
"org . junit . Assert . assertFalse ( layout . isValid ( ) )
",org . junit <mask> Assert . assertFalse ( layout . isValid ( ) <mask>
"org . junit . Assert . assertFalse ( true )
",org . junit . Assert . assertFalse ( <mask> )
"org . junit . Assert . assertEquals ( testSerializable , objectInputStream . readObject ( ) )
","org . junit . <mask> . assertEquals ( testSerializable , objectInputStream . <mask> ( <mask> )"
"org . junit . Assert . assertEquals ( expected2 , actual2 )
","org . junit . <mask> . assertEquals <mask> expected2 , actual2 )"
"org . junit . Assert . assertFalse ( constraint . fulfilled ( iContext ) )
",org . <mask> . Assert . assertFalse <mask> constraint . fulfilled ( iContext ) )
"org . junit . Assert . assertEquals ( 4 , cmd . getNbLines ( ) )
","org . junit . <mask> . assertEquals <mask> 4 , cmd . getNbLines ( ) <mask>"
"org . junit . Assert . assertTrue ( status . equals ( readStatus ) )
",<mask> . junit . Assert . assertTrue ( status <mask> equals ( <mask> ) )
"org . junit . Assert . assertThat ( values . getNamespace ( ) , org . hamcrest . Matchers . equalTo ( """" ) )
",org . junit . Assert . assertThat ( values . getNamespace <mask> ) <mask> org . hamcrest <mask> Matchers . equalTo ( <mask> ) )
"org . junit . Assert . assertEquals ( expected , out )
",org . <mask> . Assert . assertEquals ( expected <mask> out )
"org . junit . Assert . assertSame ( exception , eiie . getCause ( ) )
","<mask> <mask> junit . Assert . assertSame ( exception , eiie <mask> getCause ( ) )"
"org . junit . Assert . assertEquals ( expResult , result )
","org . junit . Assert <mask> assertEquals ( expResult , result <mask>"
"org . junit . Assert . assertEquals ( null , def )
","<mask> . <mask> . Assert . assertEquals ( null , def )"
"org . junit . Assert . assertTrue ( ( ( ( sdk . getAaptPath ( ) ) != null ) && ( ! ( sdk . getAaptPath ( ) . equals ( """" ) ) ) ) )
","org <mask> junit . Assert . <mask> ( ( ( ( <mask> . getAaptPath ( ) <mask> != null ) && ( ! <mask> sdk . getAaptPath ( ) . <mask> <mask> """" ) ) ) ) )"
"org . junit . Assert . assertThat ( center . getExternalId ( ) , org . hamcrest . CoreMatchers . is ( newExternalId ) )
","org . junit . <mask> . assertThat <mask> <mask> . getExternalId ( ) , org . hamcrest . CoreMatchers . <mask> ( <mask> ) )"
"org . junit . Assert . assertSame ( returned , assertions )
","<mask> . junit . Assert . assertSame ( returned , assertions )"
"org . junit . Assert . assertEquals ( redisMeta , meta )
","org . <mask> . Assert . assertEquals ( redisMeta , <mask> )"
"org . junit . Assert . assertEquals ( expected , printer . toString ( ) )
",org . junit . Assert . assertEquals ( expected <mask> printer . toString <mask> <mask> )
"org . junit . Assert . assertSame ( levels , returnedLevels )
",org . junit <mask> Assert . assertSame ( levels <mask> returnedLevels )
"org . junit . Assert . assertEquals ( null , status . getTargetType ( ) )
","org . junit . Assert . assertEquals <mask> null , <mask> . getTargetType <mask> ) )"
"org . junit . Assert . assertNull ( serviceManager . getServiceHandler ( ""id"" ) )
","org . junit . Assert . assertNull ( serviceManager <mask> getServiceHandler ( ""id"" <mask> )"
"org . junit . Assert . assertEquals ( expected , result )
","org <mask> junit . Assert . assertEquals ( expected , <mask> )"
"org . junit . Assert . assertTrue ( ( ( outputList . size ( ) ) == 0 ) )
",org . junit . Assert . assertTrue ( <mask> <mask> outputList . size ( ) ) <mask> 0 <mask> )
"org . junit . Assert . assertThat ( registry . getScanner ( ""jar"" ) , org . hamcrest . core . Is . is ( org . hamcrest . CoreMatchers . equalTo ( customScanner ) ) )
","<mask> . junit . Assert . <mask> ( registry . getScanner ( <mask> ) , org <mask> hamcrest . core . Is <mask> is ( org . hamcrest . CoreMatchers . equalTo ( customScanner <mask> ) )"
"org . junit . Assert . assertNull ( context . get ( ""foo"" , java . lang . String . class ) )
","org . <mask> . Assert . <mask> ( context . get ( ""foo"" , <mask> . lang . String . class ) <mask>"
"org . junit . Assert . assertEquals ( expectedType , org . talend . components . common . config . jdbc . TalendType . convertFromAvro ( fieldSchema ) )
","org . <mask> . Assert . assertEquals <mask> expectedType , <mask> . talend . components . common . <mask> . <mask> . TalendType . convertFromAvro ( fieldSchema ) )"
"org . junit . Assert . assertTrue ( converter . canConvert ( edu . zipcloud . cloudstreetmarket . core . converters . StockQuote . class ) )
",org . <mask> <mask> <mask> . assertTrue ( converter . canConvert <mask> edu <mask> zipcloud . cloudstreetmarket . core . converters . StockQuote . class ) )
"org . junit . Assert . assertNull ( queryConverter )
",org . junit . <mask> . assertNull ( <mask> )
"org . junit . Assert . assertEquals ( type2 , commonDenominator )
","org <mask> junit . Assert . assertEquals ( type2 , commonDenominator )"
"org . junit . Assert . assertSame ( operation , instance . setTags ( tagList , Compute . OperationOption . fields ( ) ) )
","org . junit . <mask> . assertSame ( operation , instance . <mask> ( tagList , Compute <mask> OperationOption <mask> <mask> ( ) ) )"
"org . junit . Assert . assertThat ( windows . withGaps ( ) . isEmpty ( ) , org . hamcrest . CoreMatchers . is ( true ) )
",org . junit . Assert . assertThat ( windows . withGaps ( ) . isEmpty ( ) <mask> org . hamcrest . CoreMatchers . is ( <mask> ) )
"org . junit . Assert . assertEquals ( expected , com . github . bordertech . wcomponents . autocomplete . AutocompleteUtil . getCombinedForSection ( sectionName , otherName ) )
","org . <mask> . Assert <mask> assertEquals ( expected , com . github . bordertech . wcomponents . autocomplete . AutocompleteUtil . <mask> <mask> sectionName , <mask> ) )"
"org . junit . Assert . assertSame ( maxRes , pe . getMaxResonStruc ( ) )
","org <mask> <mask> . Assert . assertSame ( maxRes , pe . getMaxResonStruc ( ) <mask>"
"org . junit . Assert . assertEquals ( value , val )
","org . junit . <mask> <mask> assertEquals ( value , val )"
"org . junit . Assert . assertFalse ( ""http://example.org"" . equals ( copy . getNsPrefixURI ( ""ex"" ) ) )
","org . junit . <mask> . <mask> ( ""http://example.org"" . equals ( copy <mask> getNsPrefixURI ( ""ex"" ) ) )"
"org . junit . Assert . assertThat ( restored . get ( ) , is ( option . get ( ) ) )
","org . junit . Assert . assertThat ( restored . <mask> ( ) , is ( <mask> <mask> get ( <mask> ) )"
"org . junit . Assert . assertEquals ( 4 , actual . size ( ) )
","org . junit . Assert . assertEquals ( <mask> , actual . size ( ) )"
"org . junit . Assert . assertNotNull ( granuleMetadata )
",org . <mask> . Assert . assertNotNull ( granuleMetadata <mask>
"org . junit . Assert . assertTrue ( com . liferay . portal . security . membershippolicy . SiteMembershipPolicyFactoryImplTest . _atomicState . isSet ( ) )
",org . junit . Assert <mask> <mask> ( com . liferay <mask> portal <mask> security . membershippolicy . SiteMembershipPolicyFactoryImplTest . _atomicState . isSet ( <mask> )
"org . junit . Assert . assertThat ( status , org . hamcrest . Matchers . is ( 201 ) )
","org . junit . Assert <mask> assertThat ( status , org . hamcrest . Matchers <mask> is ( <mask> ) )"
"org . junit . Assert . assertThat ( strategy . hasCorpusSelection ( corpusList , metaData ) , org . hamcrest . Matchers . is ( true ) )
","org . junit . <mask> . <mask> ( strategy . hasCorpusSelection ( corpusList , metaData <mask> <mask> org . hamcrest . Matchers . is ( true ) )"
"org . junit . Assert . assertEquals ( LogLevel . TRACE , sub . getLevel ( ) )
","org . junit . <mask> . assertEquals ( LogLevel . TRACE , <mask> <mask> getLevel ( ) )"
"org . junit . Assert . assertThat ( test1 . hashCode ( ) , org . hamcrest . CoreMatchers . is ( test2 . hashCode ( ) ) )
","org . junit . <mask> . assertThat ( test1 . hashCode <mask> ) , org . hamcrest . <mask> <mask> is ( test2 . hashCode ( ) ) )"
"org . junit . Assert . assertNotNull ( e )
",org . junit . Assert . assertNotNull ( <mask> <mask>
"org . junit . Assert . assertEquals ( 2 , count . get ( ) , 1 )
","org . junit . Assert . assertEquals ( 2 , <mask> . get ( <mask> , <mask> )"
"org . junit . Assert . assertEquals ( geoJsonObject , result )
","org . <mask> . Assert . assertEquals ( geoJsonObject , <mask> )"
"org . junit . Assert . assertEquals ( ValidationResult . OK , result )
","org . junit . Assert <mask> assertEquals <mask> ValidationResult . OK , result )"
"org . junit . Assert . assertEquals ( expectedMap , filtered )
","org . junit <mask> <mask> . assertEquals ( expectedMap , filtered )"
"org . junit . Assert . assertThat ( path . isDescendantOf ( parent ) , org . hamcrest . core . Is . is ( true ) )
","org . junit <mask> Assert . assertThat ( path . isDescendantOf ( parent ) , org . hamcrest . core . Is . <mask> ( true <mask> <mask>"
"org . junit . Assert . assertEquals ( eAtts , aAtts )
","org . <mask> . Assert <mask> assertEquals ( eAtts , aAtts )"
"org . junit . Assert . assertTrue ( rowList . isEmpty ( ) )
",org . junit . Assert . assertTrue <mask> rowList . isEmpty ( <mask> )
"org . junit . Assert . assertEquals ( hashSet . size ( ) , 2 )
","org . <mask> . <mask> . assertEquals ( hashSet . <mask> ( ) , 2 )"
"org . junit . Assert . assertEquals ( expected , result )
","org . junit . <mask> . assertEquals <mask> expected , result )"
"org . junit . Assert . assertEquals ( ""b"" , r )
","org . junit <mask> Assert . assertEquals ( ""b"" , r )"
"org . junit . Assert . assertTrue ( ( result1 == result2 ) )
",org . <mask> . Assert . assertTrue ( ( <mask> == result2 ) )
"org . junit . Assert . assertEquals ( HadoopExitData . outKeyOrdinal , org . pentaho . big . data . kettle . plugins . mapreduce . step . exit . HadoopExitData . getOutKeyOrdinal ( ) )
","org <mask> junit . Assert . assertEquals ( HadoopExitData . <mask> , org . <mask> <mask> big . data . kettle . <mask> . mapreduce <mask> step . exit . HadoopExitData . getOutKeyOrdinal ( ) )"
"org . junit . Assert . assertNotNull ( mock . scanner . output ( ) )
",org . junit <mask> Assert . assertNotNull ( mock <mask> scanner . output ( ) <mask>
"org . junit . Assert . assertEquals ( testtxt . length ( ) , test3xml . length ( ) )
","org . <mask> . Assert . <mask> ( testtxt <mask> length ( ) , test3xml . length ( <mask> )"
"org . junit . Assert . assertEquals ( jdkHands , acHands )
",org <mask> junit . Assert . assertEquals ( jdkHands <mask> acHands )
"org . junit . Assert . assertThat ( renderedFeatureFileContent , org . hamcrest . core . Is . is ( expectedOutput ) )
","<mask> . junit . Assert <mask> assertThat ( <mask> , org . hamcrest . core . <mask> . is ( expectedOutput ) )"
"org . junit . Assert . assertEquals ( expected . getStatus ( ) , actual . getStatus ( ) )
",org . junit . <mask> . assertEquals ( expected . getStatus ( ) <mask> <mask> . getStatus <mask> ) )
"org . junit . Assert . assertEquals ( ( - 1 ) , mr . read ( ) )
","org . junit . <mask> . assertEquals <mask> ( - 1 ) , mr . read <mask> ) )"
"org . junit . Assert . assertEquals ( expected , actualQuery )
","<mask> . junit . Assert . assertEquals ( expected , actualQuery )"
"org . junit . Assert . assertEquals ( results [ i ] , size )
",org <mask> junit . Assert . assertEquals ( results [ i <mask> <mask> size )
"org . junit . Assert . assertTrue ( ( ( entities . size ( ) ) == 1 ) )
",<mask> . junit . Assert . assertTrue <mask> ( ( entities . size ( ) ) <mask> 1 <mask> )
"org . junit . Assert . assertEquals ( 20 , result )
","org . junit . <mask> . <mask> ( 20 , result )"
"org . junit . Assert . assertEquals ( ODataHttpMethod . GET . name ( ) , context . getHttpMethod ( ) )
","org . junit . Assert . assertEquals ( <mask> <mask> GET <mask> <mask> ( ) , context . getHttpMethod ( ) )"
"org . junit . Assert . assertThat ( factory . apply ( mol ) , org . hamcrest . CoreMatchers . is ( 0 ) )
",org . junit . Assert . <mask> <mask> factory . apply <mask> mol ) <mask> org . hamcrest . CoreMatchers . is ( 0 ) )
